"book_color","book_number","short_name","long_name"
"#ccccff",10,"Быт","Бытие"
"#ccccff",20,"Исх","Исход"
"#ccccff",30,"Лев","Левит"
"#ccccff",40,"Чис","Числа"
"#ccccff",50,"Втор","Второзаконие"
"#ffcc99",60,"Нав","Иисус Навин"
"#ffcc99",70,"Суд","Судьи"
"#ffcc99",80,"Руфь","Руфь"
"#ffcc99",90,"1Цар","1-я Царств"
"#ffcc99",100,"2Цар","2-я Царств"
"#ffcc99",110,"3Цар","3-я Царств"
"#ffcc99",120,"4Цар","4-я Царств"
"#ffcc99",130,"1Пар","1-я Паралипоменон"
"#ffcc99",140,"2Пар","2-я Паралипоменон"
"#ffcc99",150,"Ездр","Ездра"
"#ffcc99",160,"Неем","Неемия"
"#ffcc99",190,"Есф","Есфирь"
"#66ff99",220,"Иов","Иов"
"#66ff99",230,"Пс","Псалтирь"
"#66ff99",240,"Прит","Притчи"
"#66ff99",250,"Еккл","Екклесиаст"
"#66ff99",260,"Песн","Песня Песней"
"#ff9fb4",290,"Ис","Исаия"
"#ff9fb4",300,"Иер","Иеремия"
"#ff9fb4",310,"Плач","Плач Иеремии"
"#ff9fb4",330,"Иез","Иезекииль"
"#ff9fb4",340,"Дан","Даниил"
"#ffff99",350,"Ос","Осия"
"#ffff99",360,"Иоил","Иоиль"
"#ffff99",370,"Ам","Амос"
"#ffff99",380,"Авд","Авдий"
"#ffff99",390,"Ион","Иона"
"#ffff99",400,"Мих","Михей"
"#ffff99",410,"Наум","Наум"
"#ffff99",420,"Авв","Аввакум"
"#ffff99",430,"Соф","Софония"
"#ffff99",440,"Агг","Аггей"
"#ffff99",450,"Зах","Захария"
"#ffff99",460,"Мал","Малахия"
"#ff6600",470,"Мат","От Матфея"
"#ff6600",480,"Мар","От Марка"
"#ff6600",490,"Лук","От Луки"
"#ff6600",500,"Ин","От Иоанна"
"#00ffff",510,"Деян","Деяния"
"#00ff00",660,"Иак","Иакова"
"#00ff00",670,"1Пет","1-е Петра"
"#00ff00",680,"2Пет","2-е Петра"
"#00ff00",690,"1Ин","1-е Иоанна"
"#00ff00",700,"2Ин","2-е Иоанна"
"#00ff00",710,"3Ин","3-е Иоанна"
"#00ff00",720,"Иуд","Иуды"
"#ffff00",520,"Рим","К Римлянам"
"#ffff00",530,"1Кор","1-е Коринфянам"
"#ffff00",540,"2Кор","2-е Коринфянам"
"#ffff00",550,"Гал","К Галатам"
"#ffff00",560,"Еф","К Ефесянам"
"#ffff00",570,"Флп","К Филиппийцам"
"#ffff00",580,"Кол","К Колоссянам"
"#ffff00",590,"1Фес","1-е Фессалоникийцам"
"#ffff00",600,"2Фес","2-е Фессалоникийцам"
"#ffff00",610,"1Тим","1-е Тимофею"
"#ffff00",620,"2Тим","2-е Тимофею"
"#ffff00",630,"Тит","К Титу"
"#ffff00",640,"Флм","К Филимону"
"#ffff00",650,"Евр","К Евреям"
"#ff7c80",730,"Откр","Откровение"